idRestaurant,InspectionDate,ViolationCode,ViolationDescription,CriticalFlag,Score,Grade
41596694,2013-03-12,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A
41636818,2013-03-12,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,24.0,
41636818,2013-03-12,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24.0,
41636818,2013-03-12,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,24.0,
41636818,2013-03-12,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,24.0,
41636818,2013-03-12,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24.0,
41666383,2013-03-12,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,5.0,A
41672131,2013-03-12,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A
41672131,2013-03-12,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,12.0,A
41685372,2013-03-12,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,28.0,
41685372,2013-03-12,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,28.0,
41685372,2013-03-12,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,28.0,
41685372,2013-03-12,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,28.0,
41685372,2013-03-12,16A,"A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served.",Not Critical,,
41685372,2013-03-12,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,28.0,
41687206,2013-03-12,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,18.0,
41687206,2013-03-12,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,18.0,
41687206,2013-03-12,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18.0,
41688648,2013-03-12,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,
41696092,2013-03-12,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,60.0,
41696092,2013-03-12,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,60.0,
41696092,2013-03-12,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,60.0,
41696092,2013-03-12,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,60.0,
41696092,2013-03-12,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,60.0,
41696092,2013-03-12,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,60.0,
41705867,2013-03-12,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A
41705867,2013-03-12,02B,Hot food item not held at or above 140º F.,Critical,10.0,A
41707587,2013-03-12,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A
41707587,2013-03-12,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A
41708903,2013-03-12,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,16.0,
41708903,2013-03-12,04M,Live roaches present in facility's food and/or non-food areas.,Critical,16.0,
41708903,2013-03-12,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16.0,
41708903,2013-03-12,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,16.0,
41708964,2013-03-12,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,44.0,
41708964,2013-03-12,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,44.0,
41708964,2013-03-12,04M,Live roaches present in facility's food and/or non-food areas.,Critical,44.0,
41708964,2013-03-12,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,44.0,
41708964,2013-03-12,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,44.0,
41708964,2013-03-12,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,44.0,
41709604,2013-03-12,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A
41709604,2013-03-12,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A
40361998,2013-03-13,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A
40361998,2013-03-13,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A
40361998,2013-03-13,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12.0,A
