idRestaurant,InspectionDate,ViolationCode,ViolationDescription,CriticalFlag,Score,Grade
41281195,2013-03-21,02B,Hot food item not held at or above 140º F.,Critical,27.0,B
41315411,2013-03-21,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,13.0,A
41315411,2013-03-21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,A
41315411,2013-03-21,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,13.0,A
41315411,2013-03-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A
41341835,2013-03-21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,A
41341835,2013-03-21,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,13.0,A
41341835,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A
41341835,2013-03-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A
41341837,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A
41341837,2013-03-21,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,11.0,A
41341837,2013-03-21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11.0,A
41341837,2013-03-21,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,11.0,A
41362513,2013-03-21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11.0,
41362513,2013-03-21,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11.0,
41362513,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,
41362530,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A
41362530,2013-03-21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A
41362530,2013-03-21,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,10.0,A
41371241,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,27.0,B
41371241,2013-03-21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27.0,B
41371241,2013-03-21,09C,Food contact surface not properly maintained.,Not Critical,27.0,B
41371241,2013-03-21,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,27.0,B
41371241,2013-03-21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,27.0,B
41387911,2013-03-21,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,
41387911,2013-03-21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,7.0,A
41403564,2013-03-21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,9.0,A
41403564,2013-03-21,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,9.0,A
41418437,2013-03-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19.0,B
41418437,2013-03-21,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,19.0,B
41418437,2013-03-21,20F,Current letter grade card not posted.,Not Critical,,
41418437,2013-03-21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19.0,B
41418437,2013-03-21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19.0,B
41429861,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A
41429861,2013-03-21,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10.0,A
41452652,2013-03-21,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,47.0,
41452652,2013-03-21,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,47.0,
41452652,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,47.0,
41452652,2013-03-21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,47.0,
41452652,2013-03-21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,47.0,
41452652,2013-03-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,47.0,
41452652,2013-03-21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,47.0,
41452652,2013-03-21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,47.0,
41455608,2013-03-21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A
41455608,2013-03-21,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,
41455608,2013-03-21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12.0,A
41514937,2013-03-21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A
41514937,2013-03-21,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,12.0,A
41514937,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A
41530565,2013-03-21,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,10.0,A
41567090,2013-03-21,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,11.0,A
41567090,2013-03-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A
41572361,2013-03-21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8.0,
41572361,2013-03-21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,
41572361,2013-03-21,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,
41607535,2013-03-21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,18.0,B
41607535,2013-03-21,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,
41607535,2013-03-21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,18.0,B
41607535,2013-03-21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18.0,B
41608396,2013-03-21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,19.0,
41608396,2013-03-21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19.0,
41608396,2013-03-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19.0,
41615605,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A
41615605,2013-03-21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A
41624867,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A
41624867,2013-03-21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11.0,A
41624867,2013-03-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A
41625323,2013-03-21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,45.0,
41625323,2013-03-21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,45.0,
41625323,2013-03-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,45.0,
41625323,2013-03-21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,45.0,
41638918,2013-03-21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11.0,A
41638918,2013-03-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A
41643314,2013-03-21,,,Not Applicable,0.0,A
41645715,2013-03-21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A
41645715,2013-03-21,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,12.0,A
41645715,2013-03-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A
41647039,2013-03-21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,31.0,
41647039,2013-03-21,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,31.0,
41647039,2013-03-21,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,31.0,
41647039,2013-03-21,10J,'Wash hands sign not posted at hand wash facility.,Not Critical,31.0,
41647039,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,31.0,
41647039,2013-03-21,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,31.0,
41654384,2013-03-21,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,10.0,A
41654384,2013-03-21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A
41661283,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A
41668932,2013-03-21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,25.0,B
41668932,2013-03-21,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,25.0,B
41668932,2013-03-21,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,
41668932,2013-03-21,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,
41668932,2013-03-21,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,25.0,B
41668932,2013-03-21,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,
41668932,2013-03-21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,25.0,B
41674502,2013-03-21,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,9.0,A
41674502,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A
41676577,2013-03-21,09C,Food contact surface not properly maintained.,Not Critical,12.0,A
41676577,2013-03-21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A
41676577,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A
41676577,2013-03-21,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,12.0,A
41699206,2013-03-21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,23.0,
41699206,2013-03-21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23.0,
41699206,2013-03-21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23.0,
41699206,2013-03-21,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,23.0,
41700054,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A
41701495,2013-03-21,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12.0,A
41701495,2013-03-21,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65º F or above within 2 hours.,Critical,12.0,A
41701495,2013-03-21,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,12.0,A
41701495,2013-03-21,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,
41710589,2013-03-21,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,10.0,A
41712257,2013-03-21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,A
41712257,2013-03-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A
40367442,2013-03-22,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30.0,
40367442,2013-03-22,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,30.0,
40367442,2013-03-22,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,30.0,
40367442,2013-03-22,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,30.0,
40367442,2013-03-22,02B,Hot food item not held at or above 140º F.,Critical,30.0,
40369675,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A
40376029,2013-03-22,09B,Thawing procedures improper.,Not Critical,11.0,A
40376029,2013-03-22,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,11.0,A
40376029,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A
40378212,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A
40378212,2013-03-22,04M,Live roaches present in facility's food and/or non-food areas.,Critical,13.0,A
40378212,2013-03-22,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,A
40379994,2013-03-22,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25.0,B
40379994,2013-03-22,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25.0,B
40379994,2013-03-22,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25.0,B
40379994,2013-03-22,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,25.0,B
40401151,2013-03-22,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5.0,A
40402424,2013-03-22,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,6.0,A
40402424,2013-03-22,10J,'Wash hands sign not posted at hand wash facility.,Not Critical,6.0,A
40402424,2013-03-22,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,6.0,A
40483694,2013-03-22,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,
40483694,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,
40860723,2013-03-22,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,19.0,
40860723,2013-03-22,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19.0,
40860723,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19.0,
40860723,2013-03-22,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,19.0,
41019340,2013-03-22,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,16.0,
41019340,2013-03-22,10J,'Wash hands sign not posted at hand wash facility.,Not Critical,16.0,
41019340,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,16.0,
41019340,2013-03-22,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,16.0,
41096117,2013-03-22,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,30.0,
41096117,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,30.0,
41096117,2013-03-22,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,30.0,
41096117,2013-03-22,02B,Hot food item not held at or above 140º F.,Critical,30.0,
41096117,2013-03-22,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30.0,
41096117,2013-03-22,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,30.0,
41157590,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A
41157590,2013-03-22,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A
41236269,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,
41303086,2013-03-22,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,12.0,A
41303086,2013-03-22,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12.0,A
41303086,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A
41380672,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,16.0,B
41380672,2013-03-22,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16.0,B
41380672,2013-03-22,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,16.0,B
41380672,2013-03-22,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16.0,B
41382858,2013-03-22,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,12.0,A
41382858,2013-03-22,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A
41382858,2013-03-22,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12.0,A
41436770,2013-03-22,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,12.0,
41436770,2013-03-22,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,
41436770,2013-03-22,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,
41436770,2013-03-22,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12.0,
41471729,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24.0,B
41471729,2013-03-22,04M,Live roaches present in facility's food and/or non-food areas.,Critical,24.0,B
41471729,2013-03-22,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24.0,B
41471729,2013-03-22,02B,Hot food item not held at or above 140º F.,Critical,24.0,B
41480825,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A
41497885,2013-03-22,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,2.0,A
41498159,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A
41498159,2013-03-22,02B,Hot food item not held at or above 140º F.,Critical,10.0,A
41553771,2013-03-22,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,10.0,
41553771,2013-03-22,02B,Hot food item not held at or above 140º F.,Critical,10.0,
41598755,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,14.0,
41598755,2013-03-22,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,14.0,
41598755,2013-03-22,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,14.0,
41598755,2013-03-22,10J,'Wash hands sign not posted at hand wash facility.,Not Critical,14.0,
41599815,2013-03-22,02B,Hot food item not held at or above 140º F.,Critical,31.0,
41599815,2013-03-22,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,31.0,
41599815,2013-03-22,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,31.0,
41599815,2013-03-22,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,31.0,
41599815,2013-03-22,04M,Live roaches present in facility's food and/or non-food areas.,Critical,31.0,
41621476,2013-03-22,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,A
41621476,2013-03-22,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,13.0,A
41621476,2013-03-22,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13.0,A
41621476,2013-03-22,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13.0,A
41621476,2013-03-22,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A
41629953,2013-03-22,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,9.0,A
41629953,2013-03-22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A
